season,event_main_group,event_code,event_label,category,gender,rank,athlete,nationality,age_group,total_time
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,1,XX/60,,16-29,01:02:36
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,2,VAIHINGER FITNESSTREFF,,16-29,01:04:25
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,3,Secksgeckos,,16-29,01:04:42
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,4,The cheese is eaten!,,16-29,01:04:56
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,5,Team grandIOS,,30-39,01:05:00
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,6,iFunc - The Real Life Strength,,16-29,01:05:12
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,7,Kannixchen,,16-29,01:05:32
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,8,Jérémy Righi,,30-39,01:05:48
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,9,Johannes Hillebrandt,,16-29,01:06:33
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,10,Gebrüder Grimm,,16-29,01:08:18
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,11,König,,16-29,01:09:48
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,12,Funktionelles Training Coburg,,30-39,01:09:50
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,13,Chewie und Yoda,,16-29,01:10:12
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,14,Dirk Sander,,40-49,01:13:01
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,15,Sugardaddies,,50-59,01:13:12
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,16,531,,30-39,01:13:50
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,17,Crossfit Hiesfeld,,30-39,01:14:08
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,18,Team 1 Factory Crefeld,,30-39,01:14:54
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,19,CFH Athletes,,16-29,01:15:04
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,20,Team 5 Factory Crefeld,,30-39,01:15:28
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,21,Der Bulle und der Bär,,16-29,01:15:31
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,22,Pretty Legs,,40-49,01:17:06
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,23,Saints of Lunges,,50-59,01:18:53
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,24,Umzugsunternehmen KnelliPilli,,30-39,01:19:05
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,25,DREAM TEAM aus ME Süd,,16-29,01:19:38
